id;room_id;login;begin_date;end_date;create_date;update_date;delete_date
1;77514;hacking system;2021-02-10T14:29:19;2021-02-10T10:25:38;2021-02-10T00:25:38;2021-02-10T02:52:13;2021-02-09T20:32:56
2;98915;Ford Concrete;2021-02-10T16:16:39;2021-02-10T07:41:13;2021-02-09T23:49:43;2021-02-10T01:34:58;2021-02-10T12:55:46
3;25404;input;2021-02-10T16:32:22;2021-02-10T08:08:35;2021-02-09T19:39:04;2021-02-10T12:33:19;2021-02-10T10:49:34
4;88022;Product vertical channels;2021-02-10T06:19:45;2021-02-10T05:04:03;2021-02-09T19:53:37;2021-02-09T21:20:02;2021-02-10T02:32:55
5;35715;Frozen;2021-02-10T06:26:27;2021-02-10T04:27:47;2021-02-10T16:38:36;2021-02-09T22:51:21;2021-02-10T12:43:07
6;71108;transmitting;2021-02-09T23:01:41;2021-02-10T10:00:54;2021-02-10T10:12:28;2021-02-10T10:08:14;2021-02-10T16:01:04
7;34842;Buckinghamshire;2021-02-10T07:12:26;2021-02-09T18:02:37;2021-02-09T23:25:30;2021-02-10T06:52:58;2021-02-10T07:43:50
8;68760;Via Montenegro secured line;2021-02-10T01:51:22;2021-02-09T23:59:44;2021-02-10T10:04:04;2021-02-09T19:21:18;2021-02-09T19:15:22
9;68720;Rustic Wooden Table Ranch;2021-02-10T14:02:32;2021-02-10T10:46:21;2021-02-10T03:19:54;2021-02-10T10:00:11;2021-02-10T04:12:57
10;71520;Gorgeous killer compress;2021-02-10T10:41:05;2021-02-10T07:25:43;2021-02-10T00:38:22;2021-02-10T04:07:53;2021-02-10T03:45:29
