id;room_name;capacity;has_conditioner;has_videoconference;create_date;update_date;delete_date
1;Bike alarm;84643;false;true;2021-02-09T19:45:07;2021-02-10T15:05:56;2021-02-10T14:15:41
2;Generic Soft Bacon;57239;false;false;2021-02-10T07:33:34;2021-02-09T19:44:30;2021-02-09T20:41:44
3;Regional Credit Card Account;49866;false;false;2021-02-10T16:14:01;2021-02-10T10:27:20;2021-02-10T16:06:04
4;overriding Concrete Ridges;74634;false;true;2021-02-10T09:48:09;2021-02-10T07:10:34;2021-02-10T14:35:44
5;overriding transmitter hard drive;75133;false;false;2021-02-10T00:40:05;2021-02-10T05:46:37;2021-02-10T04:52:22
6;Hryvnia Auto Loan Account Ergonomic;19614;true;true;2021-02-10T04:44:48;2021-02-10T04:34:36;2021-02-10T10:13:52
7;Jewelery COM Baby;72530;false;false;2021-02-10T14:04:09;2021-02-10T00:17:51;2021-02-10T15:49:14
8;Books Tuna black;64033;false;true;2021-02-10T10:06:07;2021-02-10T12:18:15;2021-02-09T22:57:59
9;pixel;51407;true;true;2021-02-09T18:43:44;2021-02-09T23:02:26;2021-02-09T19:55:39
10;compress Maryland;14356;false;true;2021-02-10T14:18:06;2021-02-10T11:18:13;2021-02-10T05:11:38
