id;room_id;login;create_date;update_date;delete_date
1;61475;customized Senior;2021-02-10T10:29:58;2021-02-09T22:30:06;2021-02-10T13:53:47
2;94504;interactive action-items;2021-02-10T03:11:17;2021-02-10T01:20:48;2021-02-10T07:31:47
3;1827;intranet;2021-02-10T10:05:12;2021-02-10T03:02:32;2021-02-10T15:43:05
4;47964;Bike killer Officer;2021-02-09T18:54:49;2021-02-10T06:26:38;2021-02-10T10:07:13
5;53144;South Dakota Adaptive;2021-02-09T22:26:18;2021-02-10T06:15:41;2021-02-10T08:08:21
6;43668;policy Intelligent;2021-02-09T18:59:49;2021-02-10T14:12:57;2021-02-09T21:02:38
7;49160;web services Fantastic Soft Tuna Reduced;2021-02-10T14:17:44;2021-02-09T19:47:36;2021-02-10T09:36:44
8;28285;Slovenia Bangladesh Niue;2021-02-10T07:38:44;2021-02-10T15:40:53;2021-02-10T00:33:23
9;20244;Interactions auxiliary;2021-02-10T07:42:15;2021-02-10T11:51:33;2021-02-10T02:38:03
10;48919;Investment Account system;2021-02-10T11:42:28;2021-02-09T23:01:20;2021-02-10T04:40:10
